ID_LOTE,NO_ARBOLES,AREA_UM,ALT_LOTE,DIST_SURCOS,DIST_PLANTAS,DIBUJO_SIEMBRA,ANALISIS_QUIMICO,TIPO_SIEMBRA,INVITRO_O_CORMOCOLINO,PATRON_USADO,EDAD,PN_ANIO
3726,10000,6.4,1276,2.5,2.5,TRESBOLILLO,SI,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,10,1226
3709,3400,2,1218,2.5,2.5,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,6,2486
2050,4122,3,1279,2.5,2.5,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,4,5124
3744,1888,1.7,26,2.6,2.6,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,HARTON,10,2487
3661,1700,1.6,1220,2.5,2.5,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,4,2543
3717,8000,5,1175,2.5,2.5,CUADRADO,SI,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,4,12133
3657,5783,3,1332,2.5,2.5,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,4,9235
2783,3500,2.6,13,2.7,2.7,TRESBOLILLO,SI,INTESIVO,CORMOCOLINO,HARTON,15,5654
3634,3200,2,1318,2.5,2.5,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,6,5463
3669,4690,2.9,1460,2.5,2.5,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,6,8543
1967,5500,4.95,330,3,3,TRESBOLILLO,NO,PERMANENTE,INVITRO,HARTON,5.232876712,10541
3616,973,3,1285,2.5,2.5,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,6,2241
2006,550,0.495,385,3,3,TRESBOLILLO,NO,PERMANENTE,INVITRO,HARTON,2.210958904,1323
2175,8000,5,17,2.7,2.7,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,HARTON,20,19415
1981,550,0.495,142,3,3,TRESBOLILLO,NO,PERMANENTE,INVITRO,HARTON,3.202739726,1354
2037,6000,3.35,1239,3,2.5,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,2.5,15354
2021,550,0.495,256,3,3,TRESBOLILLO,NO,PERMANENTE,INVITRO,HARTON,3.189041096,1554
1959,8200,2.47,1487,2,1,CUADRADO,NO,PERMANENTE,CORMOCOLINO,DOMINICO-HARTON,2,25000
3154,4000,2.7,1395,2.5,2.5,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,6,12543
2005,400,1,1300,4,4,CUADRADO,NO,PERMANENTE,CORMOCOLINO,DOMINICO,2,1345
1976,550,0.495,462,3,3,TRESBOLILLO,NO,PERMANENTE,INVITRO,HARTON,2.104109589,1900
1979,550,0.495,393,3,3,TRESBOLILLO,NO,PERMANENTE,INVITRO,HARTON,4.665753425,1900
1978,1100,0.99,467,3,3,TRESBOLILLO,NO,PERMANENTE,INVITRO,HARTON,2.104109589,3850
2173,4500,3.5,22,2.7,2.7,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,HARTON,15,15776
2789,2200,7,1295,2.5,2.5,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,6,8343
2044,400,2,1950,4,4,CUADRADO,NO,INTESIVO,CORMOCOLINO,DOMINICO,3,1534
3722,3200,2,1194,2.5,2.5,CUADRADO,SI,INTESIVO,CORMOCOLINO,DOMINICO-HARTON,9,12353
2008,1100,0.99,1422,3,3,CUADRADO,NO,PERMANENTE,CORMOCOLINO,DOMINICO-HARTON,6,4313
1988,1100,0.99,551,3,3,TRESBOLILLO,NO,PERMANENTE,INVITRO,HARTON,3.139726027,4531
1809,500,1,1499,5,4,CUADRADO,NO,PERMANENTE,CORMOCOLINO,DOMINICO-HARTON,2.5,2246
1982,1000,0.32,1408,2,1.6,TRESBOLILLO,SI,PERMANENTE,CORMOCOLINO,DOMINICO-HARTON,6,4500
1980,4400,4,22,2,2,TRESBOLILLO,SI,PERMANENTE,CORMOCOLINO,HARTON,11,20000
3667,2900,1.96,24,2.5,2.6,TRESBOLILLO,NO,INTESIVO,CORMOCOLINO,HARTON,16,13546
