ID,Locality,srtm,slope,int_extDrain,effDepth,trmm_0,trmm_1,trmm_2,tempAvg_0,PrecAcc_0,PrecAcc_1,PrecAcc_2,Yield
129,Chical,2014,12.5,3,63,10.89134387,9.5120818,1.875124,16.6,20.7,29.1,26.9,0.038610039
130,Chical,2031,10,3,66,0.898720603,1.462098,2.969801367,17.5,5.8,17.1,20.4,0.038928571
131,Chical,2031,10,3,66,7.05,10.1814147,8.134010967,17.5,14.1,20.3,28.4,0.039206349
132,Chical,2031,10,3,66,6.3102833,3.37,10.1551469,17.6,14.4,14.1,20.3,0.039285714
133,Chical,2031,10,3,66,0.4490539,6.584,7.498,17.6,14.4,14.1,20.3,0.039722222
134,Chical,2278,14,3,35,0.5387561,6.348,4.962,18.1,16.5,14.4,14.1,0.04
135,Chical,2278,14,3,35,1.479498643,4.7960552,3.28,18.1,16.5,14.4,14.1,0.041
136,Chical,2278,14,3,35,3.192791071,0.4490539,6.348,18.1,16.5,14.4,14.1,0.04125
137,Chical,2278,14,3,35,3.80029475,0.4490539,6.348,18,20.2,16.5,14.4,0.041547619
138,Chical,2278,14,3,35,3.466876267,1.397278714,6.0431731,18,20.2,16.5,14.4,0.041666667
139,Chical,2278,14,3,35,2.991369667,3.199059893,0.4490539,17.9,17.6,20.2,16.5,0.041666667
140,Chical,2278,14,3,35,1.4649276,2.962672267,3.192791071,17.9,17.6,20.2,16.5,0.041875
141,Chical,2278,14,3,35,1.7840713,1.683351333,3.992057857,18,6.4,17.6,20.2,0.04225
142,Chical,2278,14,3,35,0.881645003,1.4238562,2.937950467,18,6.4,17.6,20.2,0.043125
143,Jacoba,2290,14,2,48,7.072296533,10.9428725,5.283981633,15.3,21.9,30.7,26.4,0.04325
144,Buenos aires,2174,8,3,69,4.596,10.73220073,9.768125933,15.5,16.3,21.9,30.7,0.0435625
145,Chical,2278,14,3,35,6.348,7.686,10.0628177,15.5,16.3,21.9,30.7,0.04425
146,Chical,2278,14,3,35,4.9018667,3.28,7.483230533,15.7,15.7,16.3,21.9,0.045178571
147,Chical,2066,23,3,64,0.785564,6.248,3.786,15.8,18.2,15.7,16.3,0.0455
148,Buenos aires,2174,8,3,69,3.248070464,0.4490539,6.348,16.1,20,18.2,15.7,0.04578125
149,Chical,2278,14,3,35,2.831025567,2.795864179,4.3910539,16.1,20,18.2,15.7,0.046025641
150,Jacoba,2290,14,2,48,1.671649533,3.790113821,1.3600291,16.1,15.9,20,18.2,0.04675
151,Chical,2278,14,3,35,1.4649276,2.962672267,3.192791071,16.1,15.9,20,18.2,0.046875
152,Chical,2278,14,3,35,4.354910321,0.7303236,6.248,17.5,20.2,16,14.4,0.04725
153,Chical,2066,23,3,64,2.935277567,2.795864179,3.4390539,17.5,20.2,16,14.4,0.04796875
154,Chical,2066,23,3,64,1.858177233,4.263727786,0.7303236,17.5,16.6,20.2,16,0.048125
155,Chical,2066,23,3,64,1.4694094,2.858602567,2.748080929,17.5,16.6,20.2,16,0.048262548
156,Chical,2066,23,3,64,1.6538384,1.887321833,4.305052143,17.3,5.7,16.6,20.2,0.0495
157,Chical,2005,15,3,64,1.380571703,1.516454,3.9261792,17.3,5.7,16.6,20.2,0.05
